City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,82.29,87,100,15.55,overcast clouds
1,Teguise,ES,29.0605,-13.564,75.42,61,0,19.57,clear sky
2,Matagami,CA,49.7502,-77.6328,68.11,34,0,5.75,clear sky
3,Butaritari,KI,3.0707,172.7902,81.68,79,49,12.35,scattered clouds
4,Unai,BR,-16.3575,-46.9061,67.15,53,3,1.92,clear sky
5,Beloha,MG,-25.1667,45.05,58.5,67,0,7.58,clear sky
6,Hearst,CA,49.6835,-83.6665,73.81,53,6,1.19,clear sky
7,Avarua,CK,-21.2078,-159.775,77.05,53,59,10.36,broken clouds
8,Lebu,CL,-37.6167,-73.65,48.83,85,96,11.63,overcast clouds
9,Gorom-Gorom,BF,14.4439,-0.2361,87.67,50,100,15.82,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,28.06,80,40,18.41,scattered clouds
11,Provideniya,RU,64.3833,-173.3,49.73,89,100,11.12,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,28.51,69,20,11.5,few clouds
13,San Juan,AR,-31.5375,-68.5364,64.74,11,20,10.96,few clouds
14,Codrington,AU,-38.2667,141.9667,48.58,83,5,10.18,clear sky
15,Vaini,TO,-21.2,-175.2,77.16,73,20,11.5,few clouds
16,Georgetown,MY,5.4112,100.3354,83.89,85,20,3.44,moderate rain
17,Ho Chi Minh City,VN,10.75,106.6667,77.02,94,75,2.3,mist
18,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,11.5,broken clouds
19,Airai,TL,-8.9266,125.4092,61.52,81,78,4.07,broken clouds
20,Acajutla,SV,13.5928,-89.8275,82.49,78,9,3.85,clear sky
21,Taoudenni,ML,22.6783,-3.9836,101.1,7,21,5.61,few clouds
22,Mega,ET,4.05,38.3,55.22,84,66,15.21,broken clouds
23,Port Alfred,ZA,-33.5906,26.891,63.18,70,0,5.99,clear sky
24,Hermanus,ZA,-34.4187,19.2345,48.79,81,3,8.55,clear sky
25,Klaksvik,FO,62.2266,-6.589,52.72,97,100,4.76,overcast clouds
26,Usogorsk,RU,63.4106,48.6872,60.87,63,68,1.23,broken clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,55.09,94,100,11.01,mist
28,Hilo,US,19.7297,-155.09,88.29,78,75,11.5,broken clouds
29,Ribeira Brava,PT,32.65,-17.0667,75.13,45,2,1.79,clear sky
30,Kasongo-Lunda,CD,-6.4667,16.8167,68.22,38,44,1.16,scattered clouds
31,Asau,RO,46.4333,26.4,65.95,78,55,3.6,broken clouds
32,Jamestown,US,42.097,-79.2353,71.19,56,0,9.22,clear sky
33,Ankara,TR,39.9199,32.8543,63.79,86,75,4.61,broken clouds
34,Bar Harbor,US,44.3876,-68.2039,66.34,59,0,5.01,clear sky
35,Rikitea,PF,-23.1203,-134.9692,74.03,80,43,13.96,moderate rain
36,Saint Anthony,US,45.0205,-93.218,82.18,57,100,11.5,overcast clouds
37,Busselton,AU,-33.65,115.3333,55.0,70,66,16.44,broken clouds
38,Tayshet,RU,55.9342,98.0044,59.4,78,33,1.28,scattered clouds
39,Cape Town,ZA,-33.9258,18.4232,56.88,89,75,8.05,broken clouds
40,El Dorado,US,38.7666,-120.5177,86.63,32,0,5.01,clear sky
