City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grand Gaube,MU,-20.0064,57.6608,75.6,65,4,10.0,clear sky
1,Novikovo,RU,51.1537,37.8879,83.91,46,1,1.1,clear sky
2,Hermanus,ZA,-34.4187,19.2345,60.8,61,48,10.71,scattered clouds
3,Mufumbwe,ZM,-13.6833,24.8,79.93,21,19,6.62,few clouds
4,Hobart,AU,-42.8794,147.3294,53.26,76,75,6.91,moderate rain
5,Usinsk,RU,65.9939,57.5281,74.39,34,83,9.75,broken clouds
6,Provideniya,RU,64.3833,-173.3,46.13,72,93,3.89,overcast clouds
7,Avarua,CK,-21.2078,-159.775,71.65,68,20,6.91,few clouds
8,Tiksi,RU,71.6872,128.8694,54.36,80,98,2.66,overcast clouds
9,Fairbanks,US,64.8378,-147.7164,48.31,81,0,3.44,clear sky
10,Bluff,NZ,-46.6,168.3333,47.8,90,100,14.61,moderate rain
11,Cabadiangan,PH,9.7531,122.4739,80.37,84,100,3.4,overcast clouds
12,Yerbogachen,RU,61.2767,108.0108,71.04,60,82,3.96,broken clouds
13,Busselton,AU,-33.65,115.3333,58.93,80,82,6.67,broken clouds
14,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,0,16.11,clear sky
15,East London,ZA,-33.0153,27.9116,67.14,72,20,18.41,few clouds
16,Jasper,US,37.2001,-94.3502,76.23,75,0,10.36,clear sky
17,Bintulu,MY,3.1667,113.0333,84.61,79,20,0.0,few clouds
18,Turukhansk,RU,65.8167,87.9833,74.93,39,1,3.09,clear sky
19,Vila Do Maio,CV,15.1333,-23.2167,83.19,82,75,5.97,broken clouds
20,Ushuaia,AR,-54.8,-68.3,37.06,60,0,2.3,clear sky
21,Tutin,RS,42.9903,20.3314,83.77,42,64,3.58,broken clouds
22,Mahebourg,MU,-20.4081,57.7,75.49,69,20,14.97,few clouds
23,Butaritari,KI,3.0707,172.7902,81.93,75,29,19.33,scattered clouds
24,Yellowknife,CA,62.456,-114.3525,61.32,77,40,8.05,scattered clouds
25,Champerico,GT,14.3,-91.9167,75.29,86,39,4.99,scattered clouds
26,Kiruna,SE,67.8557,20.2251,56.32,72,100,11.5,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,39.79,71,91,1.28,overcast clouds
28,Kuusamo,FI,65.9667,29.1833,64.44,77,20,9.22,few clouds
29,Nemuro,JP,43.3236,145.575,66.15,100,100,1.54,light rain
30,Rawson,AR,-43.3002,-65.1023,44.31,93,100,11.41,overcast clouds
31,Souillac,MU,-20.5167,57.5167,75.58,69,20,14.97,few clouds
32,Cape Town,ZA,-33.9258,18.4232,66.11,59,0,19.57,clear sky
33,Bengkulu,ID,-3.8004,102.2655,80.89,74,13,3.4,few clouds
34,Port Alfred,ZA,-33.5906,26.891,65.17,76,40,8.99,scattered clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,53.1,99,100,1.99,moderate rain
36,Tuktoyaktuk,CA,69.4541,-133.0374,47.82,71,26,23.71,scattered clouds
37,Salamanca,ES,40.8333,-6.0,78.62,30,0,7.18,clear sky
38,Mataura,NZ,-46.1927,168.8643,47.48,99,100,1.92,overcast clouds
39,Gold Coast,AU,-28.0,153.4333,59.04,74,0,6.91,clear sky
40,Malanje,AO,-9.5402,16.341,83.17,14,72,8.37,broken clouds
41,Tual,ID,-5.6667,132.75,79.05,85,87,23.24,overcast clouds
42,Airai,TL,-8.9266,125.4092,57.94,90,30,5.37,scattered clouds
43,Dikson,RU,73.5069,80.5464,41.47,98,100,17.34,overcast clouds
44,Tingo Maria,PE,-9.2895,-76.0088,63.05,95,6,2.01,clear sky
45,Thompson,CA,55.7435,-97.8558,53.76,94,100,5.75,overcast clouds
46,Napoleon,US,41.3923,-84.1252,68.2,97,89,5.08,overcast clouds
47,Cockburn Town,TC,21.4612,-71.1419,80.31,79,8,18.61,clear sky
48,Atuona,PF,-9.8,-139.0333,76.42,76,33,22.06,light rain
49,Castro,BR,-24.7911,-50.0119,53.83,91,11,2.26,few clouds
50,Bethel,US,41.3712,-73.414,62.91,92,0,3.44,clear sky
51,Saint George,US,37.1041,-113.5841,77.63,75,0,3.44,clear sky
52,Georgetown,MY,5.4112,100.3354,85.95,77,20,12.66,thunderstorm
53,Albany,US,42.6001,-73.9662,58.64,90,8,1.23,clear sky
54,Kavaratti,IN,10.5669,72.642,80.37,82,95,20.33,overcast clouds
55,Tasiilaq,GL,65.6145,-37.6368,39.36,91,100,2.98,overcast clouds
56,The Valley,AI,18.217,-63.0578,82.09,75,2,18.34,clear sky
57,Victoria,HK,22.2855,114.1577,93.25,74,3,8.01,clear sky
58,Qinhuangdao,CN,39.9317,119.5883,78.17,78,34,6.06,scattered clouds
59,Karratha,AU,-20.7377,116.8463,72.95,55,1,8.03,light rain
60,Lubumbashi,CD,-11.6609,27.4794,77.11,27,6,6.51,clear sky
61,Visnes,NO,59.3556,5.2242,55.45,67,75,16.11,broken clouds
